year,pop
1960,8326462.0
1961,8577490.0
1962,8841338.0
1963,9115091.0
1964,9406702.0
1965,9712785.0
1966,10014505.0
1967,10320500.0
1968,10638899.0
1969,10966145.0
1970,11305206.0
1971,11668921.0
1972,12057260.0
1973,12469591.0
1974,12950962.0
1975,13497543.0
1976,14066007.0
1977,14667218.0
1978,15305806.0
1979,15973034.0
1980,16673586.0
1981,17404336.0
1982,18128631.0
1983,18733995.0
1984,19165837.0
1985,19517196.0
1986,19887452.0
1987,20230532.0
1988,20453819.0
1989,20718709.0
1990,21090886.0
1991,21453711.0
1992,21780059.0
1993,22163251.0
1994,22703631.0
1995,23290602.0
1996,23862258.0
1997,24454372.0
1998,25029144.0
1999,25634162.0
2000,26298773.0
2001,26947253.0
2002,27570318.0
2003,28188977.0
2004,28831550.0
2005,29540577.0
2006,30332968.0
2007,31191163.0
2008,32065241.0
2009,32948155.0
2010,33739933.0
2011,34419624.0
2012,35159792.0
2013,35990704.0
2014,37003245.0
2015,38171178.0
2016,39377169.0
2017,40679828.0
2018,41999059.0
2019,43232093.0
2020,44440486.0
2021,45657202.0
2022,46874204.0
2023,48109006.0
