State/Scheme/Sector,Sorghum - 5-yr average (2018/19–2022/23),Sorghum - 2022/23,Sorghum - 2023/24,Sorghum - 2023/24 as % 2022/23,Sorghum - 2023/24 as % 5-yr average,Millet - 5-yr average (2018/19–2022/23),Millet - 2022/23,Millet - 2023/24,Millet - 2023/24 as % 2022/23,Millet - 2023/24 as % 5-yr average,Wheat - 5-yr average (2018/19–2022/23),Wheat - 2022/23,Wheat - 2023/24,Wheat - 2023/24 as % 2022/23,Wheat - 2023/24 as % 5-yr average
Northern,2.8,1,3.5,354,127,-,-,-,-,-,147.49,116.82,104,89,71
River Nile,76.7,95.6,8.9,9,12,-,-,-,-,-,49.82,34.23,58.2,170,117
Khartoum,1.6,1,0.1,14,89,-,-,-,-,-,0.9,0.49,0,-,0
Al Jazirah,227.7,72.5,277.2,382,122,-,-,-,-,-,353.42,215.12,144,67,41
Suki,16.4,16,0,0,0,-,-,-,-,-,-,-,-,-,-
Sennar,33.8,49,20.7,42,61,-,-,-,-,-,1.22,0,0,0,0
White Nile,67.9,80.5,125.1,155,184,-,-,-,-,-,72.98,55.83,36,64,49
Rahad,51.7,19.6,53.4,273,103,-,-,-,-,-,1.2,0,0,0,0
New Halfa,39.5,24.3,39.6,163,100,-,-,-,-,-,67.17,53.78,35.7,66,53
Gash,66.1,47.8,13.5,28,20,-,-,-,-,-,-,-,-,-,-
Kassala,5.2,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Tokar,11.2,12.5,6.2,50,56,2.8,1.04,6.29,603,222,-,-,-,-,-
North Kordofan,7.5,13.9,0,0,0,-,-,-,-,-,-,-,-,-,-
Total-irrigated,607.77,433.63,548.34,126,90,2.83,1.04,6.29,603,222,694.2,476.27,377.9,79,54
Total-Semi-mech,1992.29,2287.86,1346.53,59,68,113.54,135.4,98.84,73,87,-,-,-,-,-
Total-rainfed,2014.94,2526.52,1159.92,46,58,1579.56,1767.74,578.41,33,37,2.08,0,0,0,0
Grand total,4615.01,5248,3054.79,58,66,1695.94,1904.18,683.54,36,40,696.28,476.27,377.9,79,54
