parameter,Wheat,Wheat_err,Maize,Maize_err,Sorghum,Sorghum_err,Millet,Millet_err,Fonio,Fonio_err
pH,6.83,0.01,6.57,0.01,6.63,0.01,6.45,0.01,4.8,0.01
TA (mEq / 100 g DM),2.49,0,4.48,0,3.97,0,5.46,0,7.25,0.28
Moisture (%FM),10.72,1.05,11.51,0.82,11.57,0.75,11.31,0.42,11.72,0.2
Proteins (% DM),12.24,0.94,7.1,0.96,8.99,1.86,11.09,0.12,8.12,1.12
Lipids (% DM),1.73,0.42,4.18,1.15,3.65,0.7,4.58,0.43,1.62,1.11
Carbohydrates (%DM),73.91,3.56,75.48,2.89,71.82,3.89,71.82,3.62,70.4,3.95
Sugar (% DM),2.91,0.3,3.66,0.66,2.56,0.55,3.31,0.75,2.01,0.75
Starch (% DM),68.24,2.16,65.69,5.09,61.2,4.25,64.8,3.51,65.12,2.65
Fibers (% DM),2.81,0.26,6.69,0.15,8.14,1.07,3.89,0.51,3.38,1.04
Ashes (% DM),1.41,0.57,1.79,0.09,4.16,0.58,2.16,0.71,8.22,0.49
EV_Kcal_per_100g_DM,308.22,14.36,321.79,18.03,308.84,15.13,319.39,17.67,284.72,19.65
